scene_id,task_id,episode_id,split,episode_length
OPEN_00,OPEN_00_TASK_034,34,train,351
OPEN_00,OPEN_00_TASK_021,21,train,402
OPEN_00,OPEN_00_TASK_023,23,train,458
OPEN_00,OPEN_00_TASK_027,27,train,378
OPEN_00,OPEN_00_TASK_010,10,train,394
OPEN_00,OPEN_00_TASK_013,13,train,410
OPEN_00,OPEN_00_TASK_000,0,train,440
OPEN_00,OPEN_00_TASK_032,32,train,319
OPEN_00,OPEN_00_TASK_015,15,train,438
OPEN_00,OPEN_00_TASK_030,30,train,431
OPEN_00,OPEN_00_TASK_005,5,train,370
OPEN_00,OPEN_00_TASK_039,39,train,482
OPEN_00,OPEN_00_TASK_036,36,train,377
OPEN_00,OPEN_00_TASK_028,28,train,390
OPEN_00,OPEN_00_TASK_038,38,train,343
OPEN_00,OPEN_00_TASK_017,17,train,364
OPEN_00,OPEN_00_TASK_002,2,train,452
OPEN_00,OPEN_00_TASK_035,35,train,354
OPEN_00,OPEN_00_TASK_006,6,train,351
OPEN_00,OPEN_00_TASK_037,37,train,447
OPEN_00,OPEN_00_TASK_029,29,train,387
OPEN_00,OPEN_00_TASK_007,7,train,419
OPEN_00,OPEN_00_TASK_016,16,train,332
OPEN_00,OPEN_00_TASK_024,24,train,363
OPEN_00,OPEN_00_TASK_019,19,train,420
OPEN_00,OPEN_00_TASK_004,4,train,465
OPEN_00,OPEN_00_TASK_003,3,train,401
OPEN_00,OPEN_00_TASK_022,22,train,449
OPEN_01,OPEN_01_TASK_004,44,train,483
OPEN_01,OPEN_01_TASK_025,64,train,340
OPEN_01,OPEN_01_TASK_001,41,train,420
OPEN_01,OPEN_01_TASK_039,78,train,439
OPEN_01,OPEN_01_TASK_022,61,train,426
OPEN_01,OPEN_01_TASK_010,49,train,418
OPEN_01,OPEN_01_TASK_019,58,train,421
OPEN_01,OPEN_01_TASK_006,46,train,447
OPEN_01,OPEN_01_TASK_015,54,train,445
OPEN_01,OPEN_01_TASK_021,60,train,441
OPEN_01,OPEN_01_TASK_013,52,train,375
OPEN_01,OPEN_01_TASK_016,55,train,516
OPEN_01,OPEN_01_TASK_011,50,train,412
OPEN_01,OPEN_01_TASK_023,62,train,437
OPEN_01,OPEN_01_TASK_026,65,train,410
OPEN_01,OPEN_01_TASK_027,66,train,435
OPEN_01,OPEN_01_TASK_020,59,train,469
OPEN_01,OPEN_01_TASK_038,77,train,440
OPEN_01,OPEN_01_TASK_035,74,train,344
OPEN_01,OPEN_01_TASK_009,48,train,413
OPEN_01,OPEN_01_TASK_000,40,train,369
OPEN_01,OPEN_01_TASK_005,45,train,425
OPEN_01,OPEN_01_TASK_032,71,train,420
OPEN_01,OPEN_01_TASK_012,51,train,353
OPEN_01,OPEN_01_TASK_018,57,train,433
OPEN_01,OPEN_01_TASK_002,42,train,472
OPEN_01,OPEN_01_TASK_024,63,train,412
OPEN_01,OPEN_01_TASK_008,47,train,455
OPEN_02,OPEN_02_TASK_020,100,train,369
OPEN_02,OPEN_02_TASK_029,109,train,356
OPEN_02,OPEN_02_TASK_009,89,train,378
OPEN_02,OPEN_02_TASK_038,118,train,321
OPEN_02,OPEN_02_TASK_031,111,train,406
OPEN_02,OPEN_02_TASK_024,104,train,306
OPEN_02,OPEN_02_TASK_005,85,train,396
OPEN_02,OPEN_02_TASK_014,94,train,383
OPEN_02,OPEN_02_TASK_033,113,train,362
OPEN_02,OPEN_02_TASK_025,105,train,420
OPEN_02,OPEN_02_TASK_000,80,train,366
OPEN_02,OPEN_02_TASK_021,101,train,354
OPEN_02,OPEN_02_TASK_002,82,train,399
OPEN_02,OPEN_02_TASK_007,87,train,345
OPEN_02,OPEN_02_TASK_023,103,train,330
OPEN_02,OPEN_02_TASK_013,93,train,392
OPEN_02,OPEN_02_TASK_011,91,train,321
OPEN_02,OPEN_02_TASK_003,83,train,363
OPEN_02,OPEN_02_TASK_022,102,train,366
OPEN_02,OPEN_02_TASK_012,92,train,338
OPEN_02,OPEN_02_TASK_027,107,train,388
OPEN_02,OPEN_02_TASK_010,90,train,349
OPEN_02,OPEN_02_TASK_001,81,train,336
OPEN_02,OPEN_02_TASK_036,116,train,319
OPEN_02,OPEN_02_TASK_016,96,train,353
OPEN_02,OPEN_02_TASK_030,110,train,351
OPEN_02,OPEN_02_TASK_037,117,train,409
OPEN_02,OPEN_02_TASK_035,115,train,384
BLOCK_00,BLOCK_00_TASK_010,130,train,475
BLOCK_00,BLOCK_00_TASK_012,132,train,490
BLOCK_00,BLOCK_00_TASK_024,144,train,472
BLOCK_00,BLOCK_00_TASK_000,120,train,461
BLOCK_00,BLOCK_00_TASK_002,122,train,464
BLOCK_00,BLOCK_00_TASK_009,129,train,487
BLOCK_00,BLOCK_00_TASK_004,124,train,507
BLOCK_00,BLOCK_00_TASK_039,159,train,480
BLOCK_00,BLOCK_00_TASK_013,133,train,508
BLOCK_00,BLOCK_00_TASK_008,128,train,452
BLOCK_00,BLOCK_00_TASK_027,147,train,430
BLOCK_00,BLOCK_00_TASK_032,152,train,442
BLOCK_00,BLOCK_00_TASK_014,134,train,442
BLOCK_00,BLOCK_00_TASK_038,158,train,498
BLOCK_00,BLOCK_00_TASK_029,149,train,511
BLOCK_00,BLOCK_00_TASK_020,140,train,446
BLOCK_00,BLOCK_00_TASK_022,142,train,514
BLOCK_00,BLOCK_00_TASK_007,127,train,491
BLOCK_00,BLOCK_00_TASK_005,125,train,494
BLOCK_00,BLOCK_00_TASK_025,145,train,522
BLOCK_00,BLOCK_00_TASK_015,135,train,467
BLOCK_00,BLOCK_00_TASK_030,150,train,537
BLOCK_00,BLOCK_00_TASK_037,157,train,460
BLOCK_00,BLOCK_00_TASK_016,136,train,532
BLOCK_00,BLOCK_00_TASK_034,154,train,444
BLOCK_00,BLOCK_00_TASK_018,138,train,446
BLOCK_00,BLOCK_00_TASK_031,151,train,492
BLOCK_00,BLOCK_00_TASK_023,143,train,491
BLOCK_01,BLOCK_01_TASK_017,177,train,522
BLOCK_01,BLOCK_01_TASK_019,179,train,467
BLOCK_01,BLOCK_01_TASK_014,174,train,482
BLOCK_01,BLOCK_01_TASK_037,197,train,446
BLOCK_01,BLOCK_01_TASK_013,173,train,433
BLOCK_01,BLOCK_01_TASK_003,163,train,452
BLOCK_01,BLOCK_01_TASK_012,172,train,445
BLOCK_01,BLOCK_01_TASK_015,175,train,444
BLOCK_01,BLOCK_01_TASK_000,160,train,433
BLOCK_01,BLOCK_01_TASK_025,185,train,436
BLOCK_01,BLOCK_01_TASK_031,191,train,487
BLOCK_01,BLOCK_01_TASK_006,166,train,445
BLOCK_01,BLOCK_01_TASK_027,187,train,458
BLOCK_01,BLOCK_01_TASK_001,161,train,460
BLOCK_01,BLOCK_01_TASK_008,168,train,477
BLOCK_01,BLOCK_01_TASK_007,167,train,467
BLOCK_01,BLOCK_01_TASK_034,194,train,458
BLOCK_01,BLOCK_01_TASK_004,164,train,448
BLOCK_01,BLOCK_01_TASK_026,186,train,521
BLOCK_01,BLOCK_01_TASK_023,183,train,438
BLOCK_01,BLOCK_01_TASK_020,180,train,464
BLOCK_01,BLOCK_01_TASK_016,176,train,393
BLOCK_01,BLOCK_01_TASK_028,188,train,488
BLOCK_01,BLOCK_01_TASK_033,193,train,458
BLOCK_01,BLOCK_01_TASK_029,189,train,395
BLOCK_01,BLOCK_01_TASK_005,165,train,439
BLOCK_01,BLOCK_01_TASK_024,184,train,447
BLOCK_01,BLOCK_01_TASK_032,192,train,478
BLOCK_02,BLOCK_02_TASK_004,204,train,437
BLOCK_02,BLOCK_02_TASK_002,202,train,484
BLOCK_02,BLOCK_02_TASK_034,234,train,476
BLOCK_02,BLOCK_02_TASK_019,219,train,442
BLOCK_02,BLOCK_02_TASK_035,235,train,506
BLOCK_02,BLOCK_02_TASK_038,238,train,469
BLOCK_02,BLOCK_02_TASK_007,207,train,510
BLOCK_02,BLOCK_02_TASK_025,225,train,451
BLOCK_02,BLOCK_02_TASK_014,214,train,452
BLOCK_02,BLOCK_02_TASK_037,237,train,527
BLOCK_02,BLOCK_02_TASK_006,206,train,518
BLOCK_02,BLOCK_02_TASK_028,228,train,524
BLOCK_02,BLOCK_02_TASK_012,212,train,499
BLOCK_02,BLOCK_02_TASK_000,200,train,517
BLOCK_02,BLOCK_02_TASK_010,210,train,521
BLOCK_02,BLOCK_02_TASK_001,201,train,525
BLOCK_02,BLOCK_02_TASK_018,218,train,521
BLOCK_02,BLOCK_02_TASK_022,222,train,521
BLOCK_02,BLOCK_02_TASK_023,223,train,529
BLOCK_02,BLOCK_02_TASK_030,230,train,464
BLOCK_02,BLOCK_02_TASK_036,236,train,538
