map_id,family,task_id,task_slot,candidate_attempt,split,start,goal,geometry_hash,episode_length,minimum_goal_distance,collision_count,ground_contact_count,nonfinite_count,clip_count,goal_reached,accepted
SINGLE_BLOCK_000,SINGLE_BLOCK,SINGLE_BLOCK_000_TASK_00,0,0,test,"[0.15094837080500964,-0.04949424153203197,0.8682994851284018]","[5.89966612581068,-0.03541121074101394,0.9066345724959601]",4c8c3cd1ec6949e8360ff74e70baf6db2459f814232e56e7519c4e6af3deb763,580,0.04694732829169262,0,0,0,0,True,True
SINGLE_BLOCK_000,SINGLE_BLOCK,SINGLE_BLOCK_000_TASK_01,1,0,test,"[-0.13592642441561845,0.12118669825490852,0.865164013082474]","[5.517276803457668,-0.017353128672979667,0.9527765259917902]",4c8c3cd1ec6949e8360ff74e70baf6db2459f814232e56e7519c4e6af3deb763,572,0.05732510628333454,0,0,0,0,True,True
SINGLE_BLOCK_000,SINGLE_BLOCK,SINGLE_BLOCK_000_TASK_02,2,0,test,"[0.05143740628321086,-1.0677643410540527,1.3475634280686335]","[6.310434696245813,1.1369280765151852,0.9814524297456253]",4c8c3cd1ec6949e8360ff74e70baf6db2459f814232e56e7519c4e6af3deb763,653,0.05931705771377737,0,0,0,0,True,True
SINGLE_BLOCK_000,SINGLE_BLOCK,SINGLE_BLOCK_000_TASK_03,3,0,test,"[-0.0944283663790856,0.8989475793986671,1.451653362824369]","[6.245539866818057,-0.8949505658916297,1.1149680526622463]",4c8c3cd1ec6949e8360ff74e70baf6db2459f814232e56e7519c4e6af3deb763,650,0.05927312310288416,0,0,0,0,True,True
SINGLE_BLOCK_000,SINGLE_BLOCK,SINGLE_BLOCK_000_TASK_04,4,0,test,"[-0.01808938009227598,-0.9936724402717255,0.65]","[6.264162293540061,1.044037254582657,1.85]",4c8c3cd1ec6949e8360ff74e70baf6db2459f814232e56e7519c4e6af3deb763,658,0.0638066474824582,0,0,0,0,True,True
SINGLE_BLOCK_000,SINGLE_BLOCK,SINGLE_BLOCK_000_TASK_05,5,0,test,"[0.13555717332448367,0.9503136844263167,1.85]","[6.0326394858759205,-0.8521378180483516,0.65]",4c8c3cd1ec6949e8360ff74e70baf6db2459f814232e56e7519c4e6af3deb763,621,0.06548697172160123,0,0,0,0,True,True
SINGLE_BLOCK_000,SINGLE_BLOCK,SINGLE_BLOCK_000_TASK_06,6,0,test,"[0.10455694674055335,-0.5259455165543521,0.55]","[6.228258971190627,-0.07307072366026413,2.25]",4c8c3cd1ec6949e8360ff74e70baf6db2459f814232e56e7519c4e6af3deb763,630,0.08203045805034812,0,0,0,0,True,True
SINGLE_BLOCK_000,SINGLE_BLOCK,SINGLE_BLOCK_000_TASK_07,7,0,test,"[0.14735308219871615,0.6353335979741082,2.25]","[5.787520102648541,-0.40348350536015454,0.55]",4c8c3cd1ec6949e8360ff74e70baf6db2459f814232e56e7519c4e6af3deb763,595,0.06733676529006394,0,0,0,0,True,True
SINGLE_BLOCK_000,SINGLE_BLOCK,SINGLE_BLOCK_000_TASK_08,8,0,test,"[0.09018291402891829,-1.0408450480121372,0.65]","[6.015081386801049,0.991301466750456,2.1]",4c8c3cd1ec6949e8360ff74e70baf6db2459f814232e56e7519c4e6af3deb763,633,0.06083438031095321,0,0,0,0,True,True
SINGLE_BLOCK_000,SINGLE_BLOCK,SINGLE_BLOCK_000_TASK_09,9,0,test,"[0.20141982097197572,0.9447574543161494,2.1]","[6.296870070294648,-0.9705263384264466,0.65]",4c8c3cd1ec6949e8360ff74e70baf6db2459f814232e56e7519c4e6af3deb763,644,0.06576456822184222,0,0,0,0,True,True
