model,update,effective_pass,train_loss,val_offline_loss,gradient_norm,learning_rate,wall_time_s,gpu_memory_bytes,microbatch,gradient_accumulation,effective_batch
UNET,4665,0.5000535963125737,9.503450564807281e-05,9.781895663898773e-05,0.04129299893975258,0.0003,537.1713882,3094024192,512,1,512
UNET,9330,1.0001071926251475,5.593041350948624e-05,6.017668021446626e-05,0.015256279148161411,0.0003,1076.0013423,3094024192,512,1,512
UNET,13995,1.500160788937721,5.709223842131905e-05,4.984476075895224e-05,0.0265179555863142,0.0003,1628.8678723,3094024192,512,1,512
UNET,18660,2.000214385250295,5.0161579565610737e-05,4.3223552141167486e-05,0.020462561398744583,0.0003,2175.5828834999998,3094024192,512,1,512
UNET,23325,2.5002679815628683,4.027674367534928e-05,4.07181667111154e-05,0.005686732474714518,0.0003,2716.7155387999996,3094024192,512,1,512
UNET,27990,3.000321577875442,3.715060302056372e-05,3.881914349145822e-05,0.00870733242481947,0.0003,3258.9527278,3094024192,512,1,512
UNET,32655,3.500375174188016,3.559572360245511e-05,3.955330666877356e-05,0.006390014197677374,0.0003,3804.9011563,3094024192,512,1,512
UNET,37320,4.00042877050059,3.0401435651583597e-05,3.712331435642239e-05,0.004860092885792255,0.0003,4350.0697879,3094024192,512,1,512
UNET,41985,4.500482366813163,3.456959530012682e-05,4.0367051549604945e-05,0.0023013721220195293,0.0003,4895.7140340000005,3094024192,512,1,512
UNET,46650,5.000535963125737,3.23099666275084e-05,3.7639127517939326e-05,0.0031278531532734632,0.0003,5441.7067431000005,3094024192,512,1,512
UNET,51315,5.5005895594383105,3.33660573232919e-05,3.3595138712343125e-05,0.007046226877719164,0.0003,5988.121763200001,3094024192,512,1,512
UNET,55980,6.000643155750884,2.7097941710962914e-05,3.331233277049081e-05,0.006481725722551346,0.0003,6528.4337499,3094024192,512,1,512
UNET,60645,6.500696752063458,3.079064845223911e-05,3.2760683939623684e-05,0.007239244878292084,0.0003,7075.866462,3094024192,512,1,512
UNET,65310,7.000750348376032,2.7681457140715793e-05,3.379109541679132e-05,0.002368563087657094,0.0003,7610.9705073000005,3094024192,512,1,512
UNET,69975,7.500803944688605,2.8515903977677226e-05,3.1475700229770475e-05,0.003216191427782178,0.0003,8148.7472107,3094024192,512,1,512
UNET,74640,8.00085754100118,2.446400685585104e-05,3.1454642214013225e-05,0.0037760972045361996,0.0003,8696.7302497,3094024192,512,1,512
UNET,79305,8.500911137313754,3.0378612791537307e-05,3.301157002341174e-05,0.00519748916849494,0.0003,9219.5605144,3094024192,512,1,512
UNET,83970,9.000964733626326,2.5316978280898184e-05,3.102744254518302e-05,0.004412845242768526,0.0003,9733.225386,3094024192,512,1,512
UNET,88635,9.5010183299389,2.522378599678632e-05,3.091353736110015e-05,0.0032924653496593237,0.0003,10235.1378329,3094024192,512,1,512
UNET,93300,10.001071926251473,2.62800749624148e-05,3.1573159292316666e-05,0.0026460159569978714,0.0003,10734.9812554,3094024192,512,1,512
UNET,97965,10.501125522564047,3.013152672792785e-05,3.278382505952609e-05,0.006744693964719772,0.0003,11256.574739099999,3094024192,512,1,512
UNET,102630,11.001179118876621,2.3590822820551693e-05,3.2444953877263983e-05,0.0017914560157805681,0.0003,11781.7550908,3094024192,512,1,512
UNET,107295,11.501232715189195,1.980900560738519e-05,3.172321794361176e-05,0.0034633728209882975,0.0003,12307.4913918,3094024192,512,1,512
UNET,111960,12.001286311501769,2.2405565687222406e-05,3.408392556567306e-05,0.005095283500850201,0.0003,12832.240957299999,3094024192,512,1,512
UNET,116625,12.501339907814343,1.9481116396491416e-05,3.079211207754468e-05,0.00287021161057055,0.0003,13358.8574218,3094024192,512,1,512
UNET,121290,13.001393504126916,2.30004770855885e-05,3.2211889056609345e-05,0.0017214496619999409,0.0003,13886.0925216,3094024192,512,1,512
UNET,125955,13.50144710043949,2.2819736841483973e-05,3.0281357393315355e-05,0.003717111423611641,0.0003,14423.5726573,3094024192,512,1,512
UNET,130620,14.001500696752064,1.63802887982456e-05,3.0915855285187865e-05,0.0025224180426448584,0.0003,14962.592786,3094024192,512,1,512
UNET,135285,14.501554293064638,1.8492804883862846e-05,2.9995654016057524e-05,0.0018007284961640835,0.0003,15496.876266399999,3094024192,512,1,512
UNET,139950,15.00160788937721,1.9791586964856833e-05,3.142032251675585e-05,0.0028238361701369286,0.0003,16031.159659899999,3094024192,512,1,512
UNET,144615,15.501661485689784,1.7973678041016683e-05,3.195104874949052e-05,0.0023182870354503393,0.0003,16574.2387847,3094024192,512,1,512
UNET,149280,16.00171508200236,1.6813668480608612e-05,3.268843917645512e-05,0.0018432991346344352,0.0003,17108.496905699998,3094024192,512,1,512
UNET,153945,16.50176867831493,1.6013942513382062e-05,3.224991171694516e-05,0.00346551020629704,0.0003,17628.684411899998,3094024192,512,1,512
UNET,158610,17.001822274627507,1.7967640815186314e-05,3.115982443889253e-05,0.0020889570005238056,0.0003,18153.4353123,3094024192,512,1,512
UNET,163275,17.50187587094008,1.5558282029815018e-05,3.330941211803867e-05,0.003763159504160285,0.0003,18679.6702975,3094024192,512,1,512
UNET,167940,18.00192946725265,1.5127242477319669e-05,3.200531789464056e-05,0.002082413760945201,0.0003,19211.4333325,3094024192,512,1,512
UNET,172605,18.501983063565227,1.3629038221552037e-05,3.1863207582109863e-05,0.0034501058980822563,0.0003,19731.5965279,3094024192,512,1,512
UNET,177270,19.0020366598778,1.880275522125885e-05,3.315636278027547e-05,0.0015670902794227004,0.0003,20250.140591,3094024192,512,1,512
UNET,181935,19.502090256190375,1.2417178368195891e-05,3.30355603759838e-05,0.002567221177741885,0.0003,20778.6189992,3094024192,512,1,512
UNET,186600,20.002143852502947,1.1491191798995715e-05,3.218710617830366e-05,0.0011958233080804348,0.0003,21303.2005764,3094024192,512,1,512
UNET,191265,20.502197448815522,1.2624752343981527e-05,3.247996306090036e-05,0.002781993942335248,0.0003,21831.198202699998,3094024192,512,1,512
UNET,195930,21.002251045128094,1.1595969226618763e-05,3.216020150509006e-05,0.001323046046309173,0.0003,22358.9902136,3094024192,512,1,512
UNET,200595,21.50230464144067,1.3732928891840857e-05,3.145466819939487e-05,0.00135302753187716,0.0003,22887.5305267,3094024192,512,1,512
UNET,205260,22.002358237753242,1.1219041880394798e-05,3.267048831990056e-05,0.0027545904740691185,0.0003,23422.546490599998,3094024192,512,1,512
UNET,209925,22.502411834065818,1.0701663086365443e-05,3.2988598461703185e-05,0.00278983311727643,0.0003,23955.676308,3094024192,512,1,512
UNET,214590,23.00246543037839,1.016181158774998e-05,3.228185155415976e-05,0.0009094181004911661,0.0003,24489.4968288,3094024192,512,1,512
UNET,219255,23.502519026690965,1.0812507753144018e-05,3.2419029089755353e-05,0.0011789907002821565,0.0003,25019.8370453,3094024192,512,1,512
UNET,223920,24.002572623003537,1.0613197446218692e-05,3.380259766359092e-05,0.0015560828614979982,0.0003,25543.6552782,3094024192,512,1,512
UNET,228585,24.50262621931611,9.569218491378706e-06,3.4209216054831026e-05,0.001441074418835342,0.0003,26067.5538146,3094024192,512,1,512
UNET,233250,25.002679815628685,9.146220691036433e-06,3.337075435811861e-05,0.0011827859561890364,0.0003,26598.3842081,3094024192,512,1,512
UNET,237915,25.502733411941257,9.212661097990349e-06,3.3470700582829105e-05,0.001346180564723909,0.0003,27138.4782597,3094024192,512,1,512
UNET,242580,26.002787008253833,8.262872142950073e-06,3.4026186231444487e-05,0.00226476788520813,0.0003,27665.070798599998,3094024192,512,1,512
UNET,247245,26.502840604566405,9.212229997501709e-06,3.34454455321876e-05,0.0017740752082318068,0.0003,28197.249745,3094024192,512,1,512
UNET,251910,27.00289420087898,8.180696568160783e-06,3.33534817667247e-05,0.0010831081308424473,0.0003,28727.8631803,3094024192,512,1,512
UNET,256575,27.502947797191553,8.154062925314065e-06,3.311890816747636e-05,0.0008840156951919198,0.0003,29257.6465299,3094024192,512,1,512
UNET,261240,28.003001393504128,7.788849870848935e-06,3.292832221295564e-05,0.000813033664599061,0.0003,29787.4110898,3094024192,512,1,512
UNET,265905,28.5030549898167,8.244622222264297e-06,3.229601183085864e-05,0.000980648910626769,0.0003,30316.451188799998,3094024192,512,1,512
UNET,270570,29.003108586129276,8.201420314435381e-06,3.2509434318961787e-05,0.0010658111423254013,0.0003,30848.9176891,3094024192,512,1,512
UNET,275235,29.503162182441848,9.825301276578102e-06,3.2640058630571704e-05,0.0019045004155486822,0.0003,31379.0070944,3094024192,512,1,512
UNET,279870,30,8.460886419925373e-06,3.4734854576166955e-05,0.001050398568622768,0.0003,31908.8107825,3094024192,512,1,512
