model,update,effective_pass,train_loss,val_offline_loss,gradient_norm,learning_rate,wall_time_s,gpu_memory_bytes
BC,4665,0.5000535963125737,9.23486368265003e-05,9.700827751923199e-05,0.001625787583179772,0.0003,40.6463507,1852769792
BC,9330,1.0001071926251475,7.444633229169995e-05,7.425825941116237e-05,0.0013361598830670118,0.0003,81.42009560000001,1852769792
BC,13995,1.500160788937721,6.031146040186286e-05,6.317953534091229e-05,0.0008134643430821598,0.0003,123.58947280000001,1852769792
BC,18660,2.000214385250295,4.755373083753511e-05,5.023461945928265e-05,0.0007098662317730486,0.0003,164.2657374,1852769792
BC,23325,2.5002679815628683,4.830239777220413e-05,4.485553561734473e-05,0.001102782553061843,0.0003,205.6113367,1852769792
BC,27990,3.000321577875442,3.8593025237787515e-05,3.7526714226441735e-05,0.0008058773819357157,0.0003,246.14832180000002,1852769792
BC,32655,3.500375174188016,3.387156903045252e-05,3.384448061823268e-05,0.0006053358083590865,0.0003,287.5408989,1852769792
BC,37320,4.00042877050059,3.084161289734766e-05,2.995692931775879e-05,0.0005457429215312004,0.0003,328.206111,1852769792
BC,41985,4.500482366813163,2.5395798729732633e-05,2.8010058965876565e-05,0.0005091942148283124,0.0003,369.8625835,1852769792
BC,46650,5.000535963125737,2.6592451831675135e-05,2.6481198628909235e-05,0.0005019080126658082,0.0003,411.2046636,1852769792
BC,51315,5.5005895594383105,2.422767283860594e-05,2.4721398596606977e-05,0.0005578797427006066,0.0003,451.0616379,1852769792
BC,55980,6.000643155750884,2.1240739442873746e-05,2.3617642767400246e-05,0.000375740957679227,0.0003,492.9754082,1852769792
BC,60645,6.500696752063458,2.1769728846265934e-05,2.3195017766836868e-05,0.0004296527476981282,0.0003,534.6204290000001,1852769792
BC,65310,7.000750348376032,1.9738130504265428e-05,2.226389134515832e-05,0.0003922503092326224,0.0003,575.1973017,1852769792
BC,69975,7.500803944688605,2.1475574612850323e-05,2.183973124739709e-05,0.0005641025491058826,0.0003,616.3977773,1852769792
BC,74640,8.00085754100118,1.862788303697016e-05,2.0421223925349142e-05,0.00029017997439950705,0.0003,658.2322868,1852769792
BC,79305,8.500911137313754,1.944522955454886e-05,2.1375086938241628e-05,0.00034389717620797455,0.0003,699.124096,1852769792
BC,83970,9.000964733626326,1.873209657787811e-05,2.0073209116784516e-05,0.0003886235354002565,0.0003,739.6959773,1852769792
BC,88635,9.5010183299389,1.9882869310094975e-05,2.0382203620850428e-05,0.0005627492209896445,0.0003,781.9686628000001,1852769792
BC,93300,10.001071926251473,1.8151455151382834e-05,1.91065769885236e-05,0.00043866588384844363,0.0003,822.4610007,1852769792
BC,97965,10.501125522564047,2.105258135998156e-05,1.847347174154143e-05,0.0004465211241040379,0.0003,863.2216504,1852769792
BC,102630,11.001179118876621,1.843558857217431e-05,1.844077074703701e-05,0.0003671276499517262,0.0003,904.986519,1852769792
BC,107295,11.501232715189195,1.8062424715026282e-05,1.8766258688611364e-05,0.0004498338093981147,0.0003,946.5055547000001,1852769792
BC,111960,12.001286311501769,1.6426458387286402e-05,1.779439217042072e-05,0.00034975085873156786,0.0003,987.558891,1852769792
BC,116625,12.501339907814343,1.5755726053612307e-05,1.81662393210678e-05,0.0004003714711870998,0.0003,1028.9468556,1852769792
BC,121290,13.001393504126916,1.7045691492967308e-05,1.817204595489953e-05,0.0003900950832758099,0.0003,1071.3694232,1852769792
BC,125955,13.50144710043949,1.417542080162093e-05,1.6940101311637618e-05,0.00035995227517560124,0.0003,1111.4076366,1852769792
BC,130620,14.001500696752064,1.491089460614603e-05,1.7177428019463817e-05,0.0003067700599785894,0.0003,1152.987769,1852769792
BC,135285,14.501554293064638,1.5381001503556035e-05,1.722023534155144e-05,0.0003871367662213743,0.0003,1194.9227019,1852769792
BC,139950,15.00160788937721,1.6212297850870527e-05,1.685022700007244e-05,0.0004820921167265624,0.0003,1235.9468909,1852769792
BC,144615,15.501661485689784,1.4876607565383893e-05,1.6531468455558766e-05,0.0003556137380655855,0.0003,1276.7333134,1852769792
BC,149280,16.00171508200236,1.5100823475222569e-05,1.6298019985448784e-05,0.00031496427254751325,0.0003,1319.008656,1852769792
